date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:03:28	816/816	---M-Z	200	added ('OK')	text/xml	date:Thu,%2011%20Jul%202024%2016:03:28%20GMT	https://reghiumesports.gg/xmlrpc.php?rsd	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/xmlrpc0db0.php	(from https://reghiumesports.gg/)
18:03:30	2145/2145	---MC-	200	added ('OK')	application/json	date:Thu,%2011%20Jul%202024%2016:03:29%20GMT	https://reghiumesports.gg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Freghiumesports.gg%2F	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-json/oembed/1.0/embedf822.json	(from https://reghiumesports.gg/)
18:03:30	2304/2304	---M-Z	200	added ('OK')	text/xml	date:Thu,%2011%20Jul%202024%2016:03:30%20GMT	https://reghiumesports.gg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Freghiumesports.gg%2F&format=xml	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-json/oembed/1.0/embed6c53	(from https://reghiumesports.gg/)
18:03:31	11904/11904	---M--	200	added ('OK')	text/css	etag:%225d99f7e9-2e80%22	https://reghiumesports.gg/wp-content/plugins/count-per-day/counter.css	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/plugins/count-per-day/counter.css	(from https://reghiumesports.gg/)
18:03:32	1148/1148	---M--	200	added ('OK')	image/png	etag:%2263e64542-47c%22	https://reghiumesports.gg/wp-content/uploads/2023/02/cropped-iconsite-32x32.png	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/uploads/2023/02/cropped-iconsite-32x32.png	(from https://reghiumesports.gg/)
18:03:33	13001/13001	---M--	200	added ('OK')	image/png	etag:%2263e64542-32c9%22	https://reghiumesports.gg/wp-content/uploads/2023/02/cropped-iconsite-192x192.png	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/uploads/2023/02/cropped-iconsite-192x192.png	(from https://reghiumesports.gg/)
18:03:34	24277/24277	---M--	200	added ('OK')	image/png	etag:%2263e64542-5ed5%22	https://reghiumesports.gg/wp-content/uploads/2023/02/cropped-iconsite-180x180.png	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/uploads/2023/02/cropped-iconsite-180x180.png	(from https://reghiumesports.gg/)
18:03:35	115211/115211	---M--	200	added ('OK')	image/png	etag:%2263e63ad7-1c20b%22	https://reghiumesports.gg/wp-content/uploads/2023/02/headernew.png?id=7	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/wp-content/uploads/2023/02/headernew8803.png	(from https://reghiumesports.gg/)
18:03:36	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2011%20Jul%202024%2016:03:36%20GMT	https://reghiumesports.gg/discord	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/discord	(from https://reghiumesports.gg/)
18:03:37	125225/125225	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jul%202024%2016:03:37%20GMT	https://reghiumesports.gg/tesseramento/	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/tesseramento/index.html	(from https://reghiumesports.gg/)
18:03:37	134357/134357	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jul%202024%2016:03:37%20GMT	https://reghiumesports.gg/selezioni-latina-calcio/	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/selezioni-latina-calcio/index.html	(from https://reghiumesports.gg/)
18:03:37	133384/133384	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jul%202024%2016:03:37%20GMT	https://reghiumesports.gg/tesseramento-fide-2024/	/Users/danielebufalo/Documents/CoriglianoSite/reghiumesports.gg/tesseramento-fide-2024/index.html	(from https://reghiumesports.gg/)
